9.460000000000000853e+00,6.616666666666666252e+00,2.090000000000000000e+02,2.049751701461767439e+01
9.800000000000000711e+00,7.557692307692307487e+00,1.900000000000000000e+02,3.335189806115198508e+01
1.138461538461538503e+01,9.157894736842104422e+00,2.150000000000000000e+02,1.535349002186572420e+01
1.336363636363636331e+01,1.029729729729729648e+01,2.710000000000000000e+02,5.395740933371539683e+01
1.351351351351351404e+01,1.117647058823529349e+01,3.000000000000000000e+02,3.330487493352119088e+01
1.363333333333333286e+01,1.208823529411764675e+01,3.040000000000000000e+02,2.922326627793571419e+01
1.374285714285714199e+01,1.157575757575757613e+01,1.940000000000000000e+02,2.722458263750353780e+01
1.416129032258064591e+01,1.188571428571428612e+01,1.950000000000000000e+02,2.611786989253932489e+01
1.448148148148148096e+01,1.306666666666666643e+01,2.030000000000000000e+02,1.852645048100626468e+01
1.490322580645161210e+01,1.420689655172413879e+01,3.070000000000000000e+02,2.602755769015832499e+01
1.525000000000000000e+01,1.376923076923077005e+01,2.290000000000000000e+02,1.372977122361536750e+01
1.535714285714285765e+01,1.392857142857142883e+01,2.420000000000000000e+02,2.498223222914177555e+01
1.536363636363636331e+01,3.053846153846154010e+01,1.250000000000000000e+02,3.383978019298461248e+01
1.556666666666666643e+01,1.439285714285714235e+01,2.510000000000000000e+02,3.342690691071128128e+01
1.563333333333333286e+01,1.578571428571428648e+01,3.450000000000000000e+02,1.201929159808662817e+01
1.577419354838709609e+01,1.621739130434782439e+01,3.150000000000000000e+02,1.803236834987716719e+01
1.578125000000000000e+01,2.189473684210526372e+01,3.790000000000000000e+02,4.646275154037716248e+01
1.631034482758620641e+01,1.637037037037037024e+01,3.810000000000000000e+02,4.802578399127148145e+01
1.655555555555555713e+01,4.288888888888888573e+01,1.450000000000000000e+02,1.257623839673697397e+01
2.611111111111111072e+01,4.400000000000000000e+01,1.460000000000000000e+02,7.706594195640844802e+00
2.852941176470588402e+01,4.712500000000000000e+01,1.530000000000000000e+02,3.395976968506954297e+00
2.888235294117647101e+01,5.100000000000000000e+01,1.560000000000000000e+02,6.683887746815732278e+00
2.960000000000000142e+01,5.200000000000000000e+01,1.670000000000000000e+02,1.545785722064872125e+01
3.264705882352941302e+01,5.387500000000000000e+01,1.820000000000000000e+02,3.053501261270427847e+01
3.492857142857143060e+01,5.414285714285714590e+01,2.020000000000000000e+02,3.959537823509283072e+01
4.270000000000000284e+01,5.700000000000000000e+01,2.030000000000000000e+02,4.505112760860361476e+01
4.311111111111111427e+01,5.857142857142856940e+01,2.380000000000000000e+02,4.789811458721514725e+01
